Episode,Mean Steps,Mean Rewards,Mean Q Sizes
735,261.6,-250.6,20589.8
736,240.6,-229.6,20617.3
737,137.8,-126.8,20638.1
738,238.4,-227.4,20666.4
739,203.6,-192.6,20689.9
740,281.5,-270.5,20716.5
741,357.2,-346.2,20749.5
742,360.4,-349.4,20782.5
743,166.6,-155.6,20803.4
744,270.4,-259.4,20833.4
745,301.5,-290.5,20863.8
746,286.1,-275.1,20893.6
747,304.0,-293.0,20923.1
748,187.1,-176.1,20945.8
749,415.3,-404.3,20979.2
750,193.5,-182.5,21004.5
751,298.8,-287.8,21033.5
752,251.5,-240.5,21060.7
753,374.7,-363.7,21096.2
754,305.5,-294.5,21128.1
755,356.7,-345.7,21161.2
756,311.1,-300.1,21190.0
757,330.1,-319.1,21222.0
758,254.1,-243.1,21251.1
759,333.8,-322.8,21284.1
760,178.2,-167.2,21304.7
761,221.0,-210.0,21327.9
762,362.9,-351.9,21361.1
763,304.7,-293.7,21392.9
764,378.6,-367.6,21428.2
765,358.7,-347.7,21463.0
766,270.8,-259.8,21491.8
767,325.7,-314.7,21522.7
768,283.1,-272.1,21549.6
769,194.0,-183.0,21573.5
770,340.6,-329.6,21606.4
771,217.0,-206.0,21631.8
772,323.8,-312.8,21661.3
773,375.9,-364.9,21696.3
774,369.2,-358.2,21731.1
775,229.2,-218.2,21758.8
776,362.1,-351.1,21792.7
777,345.0,-334.0,21824.5
778,263.6,-252.6,21851.4
779,259.6,-248.6,21879.3
780,257.9,-246.9,21905.5
781,176.9,-165.9,21927.5
782,391.1,-380.1,21962.1
783,275.4,-264.4,21993.7
784,215.5,-204.5,22018.3
785,172.4,-161.4,22039.4
786,295.2,-284.2,22071.2
787,302.5,-291.5,22099.6
788,265.1,-254.1,22126.5
789,237.8,-226.8,22151.8
790,266.1,-255.1,22179.2
791,265.6,-254.6,22208.5
792,267.2,-256.2,22233.0
793,272.2,-261.2,22261.3
794,109.7,-98.7,22274.9
795,302.8,-291.8,22308.3
796,226.7,-215.7,22331.5
797,252.8,-241.8,22360.9
798,194.6,-183.6,22384.6
799,248.4,-237.4,22412.2
800,324.2,-313.2,22441.3
801,191.0,-180.0,22463.9
802,239.8,-228.8,22487.8
803,177.4,-166.4,22510.9
804,175.1,-164.1,22533.7
805,387.9,-376.9,22568.1
806,275.5,-264.5,22597.5
807,245.4,-234.4,22622.5
808,164.7,-153.7,22646.7
809,143.9,-132.9,22664.4
810,148.8,-137.8,22683.6
811,310.2,-299.2,22714.4
812,367.1,-356.1,22748.9
813,298.4,-287.4,22777.0
814,381.3,-370.3,22808.4
815,343.3,-332.3,22839.9
816,202.9,-191.9,22863.1
817,228.4,-217.4,22886.3
818,288.4,-277.4,22917.2
819,229.9,-218.9,22946.1
820,314.8,-303.8,22975.2
821,382.9,-371.9,23011.6
822,168.6,-157.6,23032.6
823,337.9,-326.9,23063.6
824,348.4,-337.4,23096.6
825,315.6,-304.6,23127.5
826,280.4,-269.4,23155.6
827,210.8,-199.8,23180.4
828,264.0,-253.0,23206.4
829,213.1,-202.1,23231.3
830,238.2,-227.2,23261.4
831,270.0,-259.0,23292.0
832,315.6,-304.6,23320.6
833,312.0,-301.0,23353.1
834,140.9,-129.9,23374.1
835,202.3,-191.3,23399.8
836,265.3,-254.3,23427.7
837,267.3,-256.3,23456.2
838,325.1,-314.1,23487.2
839,168.4,-157.4,23506.8
840,310.7,-299.7,23538.4
841,313.1,-302.1,23569.0
842,285.0,-274.0,23599.2
843,209.4,-198.4,23622.9
844,345.6,-334.6,23657.1
845,505.3,-494.3,23697.5
846,276.7,-265.7,23724.3
847,159.6,-148.6,23743.6
848,213.8,-202.8,23765.9
849,273.4,-262.4,23793.0
850,251.6,-240.6,23817.9
851,334.2,-323.2,23848.2
852,322.0,-311.0,23882.0
853,341.7,-330.7,23911.4
854,159.4,-148.4,23931.4
855,358.3,-347.3,23966.4
856,204.1,-193.1,23991.8
857,202.5,-191.5,24015.7
858,195.2,-184.2,24039.0
859,201.4,-190.4,24062.9
860,452.5,-441.5,24099.3
861,170.2,-159.2,24122.6
862,346.7,-335.7,24154.4
863,238.1,-227.1,24177.9
864,292.7,-281.7,24208.6
865,188.7,-177.7,24230.3
866,264.3,-253.3,24256.6
867,247.0,-236.0,24282.8
868,276.7,-265.7,24310.9
869,258.9,-247.9,24337.7
870,118.2,-107.2,24354.4
871,212.0,-201.0,24378.1
